Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
29-June-2020,52.90,53.00,51.25,51.60,51.885471765533971159,1390871,5325,72165998.00,441382,31.73,1.75,-1.30
26-June-2020,52.55,54.90,52.55,53.45,53.876127691148066142,2037792,4024,109788342.00,355975,17.47,2.35,0.90
25-June-2020,53.00,53.65,51.20,52.15,52.346537798897067031,2149904,4179,112540031.00,369129,17.17,2.45,-0.85
24-June-2020,57.10,58.05,52.80,53.20,55.370357592875337837,3860955,11106,213782459.00,863522,22.37,5.25,-3.90
23-June-2020,54.90,57.00,54.45,56.45,55.347702321825244189,7365283,7484,407651491.00,5085516,69.05,2.55,1.55
22-June-2020,51.80,56.00,51.50,54.30,54.382450110924754430,5172876,13735,281313671.00,1418436,27.42,4.50,2.50
19-June-2020,48.00,51.25,47.95,50.95,49.863637479940961767,4519783,10332,225372821.00,1664880,36.84,3.30,2.95
18-June-2020,46.00,48.40,46.00,48.20,47.379252267021876120,1717672,4517,81382015.00,610132,35.52,2.40,2.20
17-June-2020,46.00,47.50,45.70,46.75,46.829040627194246798,1377181,2342,64492065.00,253683,18.42,1.80,0.75
16-June-2020,47.50,48.75,45.70,46.75,47.416767270575012766,2340035,5668,110956895.00,666293,28.47,3.05,-0.75
15-June-2020,48.75,48.85,46.40,46.55,47.280495389586257052,1310403,4705,61956503.00,311617,23.78,2.45,-2.20
12-June-2020,45.30,49.35,44.40,48.85,46.889662853989686016,2055074,4242,96361727.00,287768,14.00,4.95,3.55
11-June-2020,50.00,50.70,47.75,47.95,49.318075011587783900,1553360,3625,76608725.00,341372,21.98,2.95,-2.05
10-June-2020,48.00,50.10,48.00,49.85,49.273899027941791189,1203323,2527,59292416.00,288834,24.00,2.10,1.85
9-June-2020,48.40,49.95,46.90,48.40,48.625778923217003805,1742951,3339,84752350.00,214331,12.30,3.05,0.00
8-June-2020,48.60,50.35,47.60,48.10,48.943100974003786675,2487670,5757,121754284.00,662172,26.62,2.75,-0.50
5-June-2020,45.70,47.60,45.70,47.30,47.017392505318164801,1151243,2780,54128444.00,246450,21.41,1.90,1.60
4-June-2020,47.15,48.00,45.30,45.65,46.518451196591138674,1633390,3682,75982773.00,398923,24.42,2.70,-1.50
3-June-2020,48.25,48.85,46.60,47.15,48.122842461767384115,1752692,3885,84344521.00,505673,28.85,2.25,-1.10
2-June-2020,47.00,48.05,45.95,47.65,47.217715523600251570,1931865,5510,91218252.00,362045,18.74,2.10,0.65
1-June-2020,46.45,47.25,45.65,46.65,46.509849208519733852,2299931,7184,106969444.00,596204,25.92,1.60,0.20
29-May-2020,42.35,45.25,41.40,44.95,44.118373679598254449,3599094,6726,158786174.00,565270,15.71,3.85,2.60
28-May-2020,42.00,43.25,40.70,42.75,41.993410537741613345,3075213,5151,129138682.00,369900,12.03,2.55,0.75
27-May-2020,38.50,41.60,38.00,41.00,39.971253497054023479,1425843,2961,56992732.00,295946,20.76,3.60,2.50
26-May-2020,38.70,38.80,37.60,38.45,38.024799505631889941,875461,1672,33289229.00,194608,22.23,1.20,-0.25
22-May-2020,38.60,39.85,36.85,37.35,38.010977012055885102,1534935,3439,58344379.00,428353,27.91,3.00,-1.25
21-May-2020,39.65,39.90,38.90,39.35,39.471341545776264959,740340,1547,29222213.00,182348,24.63,1.00,-0.30
20-May-2020,39.00,39.85,38.15,39.10,38.854657253219441632,1077749,2005,41875568.00,193718,17.97,1.70,0.10
19-May-2020,40.50,40.70,37.75,38.20,39.313721913188584735,1748641,3105,68745586.00,393911,22.53,2.95,-2.30
18-May-2020,44.00,44.00,39.50,39.65,40.472582332522156958,1773145,5287,71763757.00,808815,45.61,4.50,-4.35
15-May-2020,45.10,45.40,43.60,43.80,44.138188485410862908,983917,4266,43428314.00,294107,29.89,1.80,-1.30
14-May-2020,42.65,45.65,42.50,45.40,44.554324602709106451,1803842,3878,80368962.00,440126,24.40,3.15,2.75
13-May-2020,45.00,45.00,42.30,43.15,43.347724467027757807,1396508,3109,60535444.00,285985,20.48,2.70,-1.85
12-May-2020,42.85,42.85,40.30,41.45,41.205700050815085655,1712090,5400,70547867.00,509354,29.75,2.55,-1.40
11-May-2020,43.00,44.65,42.75,43.20,43.707296806112660762,1176967,3140,51442046.00,291314,24.75,1.90,0.20
8-May-2020,43.60,44.35,42.30,42.65,43.194450197897876410,531082,1487,22939795.00,144237,27.16,2.05,-0.95
7-May-2020,43.00,44.80,42.75,43.20,43.650622871687859018,697736,1717,30456611.00,118235,16.95,2.05,0.20
6-May-2020,43.15,44.10,41.95,43.85,43.303359042491832351,996921,2333,43170028.00,184076,18.46,2.15,0.70
5-May-2020,45.10,45.30,42.75,43.00,43.894993420541346530,759181,2354,33324245.00,257085,33.86,2.55,-2.10
4-May-2020,47.50,47.50,43.70,44.05,44.711117782478605104,1295753,3999,57934565.00,557708,43.04,3.80,-3.45
30-April-2020,47.60,50.75,46.60,48.80,49.206242440099675744,2392558,7068,117728789.00,493840,20.64,4.15,1.20
29-April-2020,47.80,47.85,45.80,46.55,46.585497392966453345,826610,2509,38508038.00,217030,26.26,2.05,-1.25
28-April-2020,45.45,48.00,44.45,46.75,45.852644197958538027,945107,3531,43335655.00,370040,39.15,3.55,1.30
27-April-2020,43.25,44.80,43.00,44.50,43.833310111136168739,696173,1647,30515567.00,136174,19.56,1.80,1.25
24-April-2020,43.50,44.15,42.90,43.10,43.473334807881726367,628441,1937,27320426.00,226166,35.99,1.25,-0.40
23-April-2020,45.30,46.00,44.00,44.95,45.185950899247986453,943733,3082,42643473.00,187310,19.85,2.00,-0.35
22-April-2020,44.10,44.40,42.00,44.10,43.253277595607242759,1187227,2965,51351459.00,184895,15.57,2.40,0.00
21-April-2020,45.00,45.00,42.70,43.40,43.373403380984607992,840761,2970,36466666.00,290834,34.59,2.30,-1.60
20-April-2020,48.45,48.45,45.30,46.05,46.454039840377977371,1351192,3867,62768327.00,311715,23.07,3.15,-2.40
17-April-2020,44.20,46.35,43.25,45.95,44.927029526941549785,2234671,5818,100397130.00,486501,21.77,3.10,1.75
16-April-2020,41.20,42.65,40.70,42.15,41.730917596506209053,839661,2202,35039824.00,163799,19.51,1.95,0.95
15-April-2020,41.00,43.80,41.00,41.40,42.521775001514304432,1436303,3683,61074153.00,303169,21.11,2.80,0.40
